Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-40260-5907-6,192.168.1.13,40260,192.168.1.3,5907,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-36452-143-6,192.168.1.13,36452,192.168.1.3,143,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-41382-49160-6,192.168.1.13,41382,192.168.1.3,49160,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-55316-2301-6,192.168.1.13,55316,192.168.1.3,2301,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-36890-6156-6,192.168.1.13,36890,192.168.1.3,6156,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-51248-888-6,192.168.1.13,51248,192.168.1.3,888,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-44124-5060-6,192.168.1.13,44124,192.168.1.3,5060,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-56166-808-6,192.168.1.13,56166,192.168.1.3,808,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-43164-3301-6,192.168.1.13,43164,192.168.1.3,3301,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40962-43-6,192.168.1.13,40962,192.168.1.3,43,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-48464-256-6,192.168.1.13,48464,192.168.1.3,256,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-37788-1055-6,192.168.1.13,37788,192.168.1.3,1055,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-36214-27356-6,192.168.1.13,36214,192.168.1.3,27356,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-32778-2107-6,192.168.1.13,32778,192.168.1.3,2107,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-53276-3920-6,192.168.1.13,53276,192.168.1.3,3920,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45380-683-6,192.168.1.13,45380,192.168.1.3,683,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40234-161-6,192.168.1.13,40234,192.168.1.3,161,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-60378-5904-6,192.168.1.13,60378,192.168.1.3,5904,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37260-1433-6,192.168.1.13,37260,192.168.1.3,1433,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37362-2002-6,192.168.1.13,37362,192.168.1.3,2002,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-42970-1166-6,192.168.1.13,42970,192.168.1.3,1166,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-42018-3300-6,192.168.1.13,42018,192.168.1.3,3300,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-56736-9485-6,192.168.1.13,56736,192.168.1.3,9485,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-57310-2043-6,192.168.1.13,57310,192.168.1.3,2043,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-57916-4343-6,192.168.1.13,57916,192.168.1.3,4343,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-59510-50002-6,192.168.1.13,59510,192.168.1.3,50002,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-47490-8181-6,192.168.1.13,47490,192.168.1.3,8181,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-46134-1111-6,192.168.1.13,46134,192.168.1.3,1111,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40732-1248-6,192.168.1.13,40732,192.168.1.3,1248,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-52054-7019-6,192.168.1.13,52054,192.168.1.3,7019,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-56860-3871-6,192.168.1.13,56860,192.168.1.3,3871,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-47222-8701-6,192.168.1.13,47222,192.168.1.3,8701,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-34462-24800-6,192.168.1.13,34462,192.168.1.3,24800,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45396-5666-6,192.168.1.13,45396,192.168.1.3,5666,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-58034-34571-6,192.168.1.13,58034,192.168.1.3,34571,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-34126-6901-6,192.168.1.13,34126,192.168.1.3,6901,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-55622-3784-6,192.168.1.13,55622,192.168.1.3,3784,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-49956-13456-6,192.168.1.13,49956,192.168.1.3,13456,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-55810-5214-6,192.168.1.13,55810,192.168.1.3,5214,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-38136-3077-6,192.168.1.13,38136,192.168.1.3,3077,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-54558-280-6,192.168.1.13,54558,192.168.1.3,280,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37826-10215-6,192.168.1.13,37826,192.168.1.3,10215,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-36410-7402-6,192.168.1.13,36410,192.168.1.3,7402,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-42792-2394-6,192.168.1.13,42792,192.168.1.3,2394,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37332-5859-6,192.168.1.13,37332,192.168.1.3,5859,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-35636-800-6,192.168.1.13,35636,192.168.1.3,800,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-37086-1154-6,192.168.1.13,37086,192.168.1.3,1154,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-34254-2048-6,192.168.1.13,34254,192.168.1.3,2048,6,21/11/2024 03:42:15 PM
