Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-58238-7911-6,192.168.1.13,58238,192.168.1.3,7911,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-35738-513-6,192.168.1.13,35738,192.168.1.3,513,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-42646-37-6,192.168.1.13,42646,192.168.1.3,37,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-57432-1104-6,192.168.1.13,57432,192.168.1.3,1104,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-48226-3260-6,192.168.1.13,48226,192.168.1.3,3260,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-38286-340-6,192.168.1.13,38286,192.168.1.3,340,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-38644-6792-6,192.168.1.13,38644,192.168.1.3,6792,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-34300-14441-6,192.168.1.13,34300,192.168.1.3,14441,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-51348-19801-6,192.168.1.13,51348,192.168.1.3,19801,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-42048-7025-6,192.168.1.13,42048,192.168.1.3,7025,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-36948-4129-6,192.168.1.13,36948,192.168.1.3,4129,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-35022-256-6,192.168.1.13,35022,192.168.1.3,256,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-57234-9943-6,192.168.1.13,57234,192.168.1.3,9943,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-51410-5862-6,192.168.1.13,51410,192.168.1.3,5862,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-59630-726-6,192.168.1.13,59630,192.168.1.3,726,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-56772-63331-6,192.168.1.13,56772,192.168.1.3,63331,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-39200-1687-6,192.168.1.13,39200,192.168.1.3,1687,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-52662-1009-6,192.168.1.13,52662,192.168.1.3,1009,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-37720-6346-6,192.168.1.13,37720,192.168.1.3,6346,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-55504-4224-6,192.168.1.13,55504,192.168.1.3,4224,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-53088-1217-6,192.168.1.13,53088,192.168.1.3,1217,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38510-32-6,192.168.1.13,38510,192.168.1.3,32,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-43206-1218-6,192.168.1.13,43206,192.168.1.3,1218,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-41384-7920-6,192.168.1.13,41384,192.168.1.3,7920,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-34492-1047-6,192.168.1.13,34492,192.168.1.3,1047,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-39136-2717-6,192.168.1.13,39136,192.168.1.3,2717,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-52118-8180-6,192.168.1.13,52118,192.168.1.3,8180,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-49886-306-6,192.168.1.13,49886,192.168.1.3,306,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-51872-1417-6,192.168.1.13,51872,192.168.1.3,1417,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-38914-3689-6,192.168.1.13,38914,192.168.1.3,3689,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-60454-9900-6,192.168.1.13,60454,192.168.1.3,9900,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-48534-9011-6,192.168.1.13,48534,192.168.1.3,9011,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-58148-106-6,192.168.1.13,58148,192.168.1.3,106,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-55010-3011-6,192.168.1.13,55010,192.168.1.3,3011,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-35428-7676-6,192.168.1.13,35428,192.168.1.3,7676,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-43616-4111-6,192.168.1.13,43616,192.168.1.3,4111,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-49114-135-6,192.168.1.13,49114,192.168.1.3,135,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-42084-6003-6,192.168.1.13,42084,192.168.1.3,6003,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-37074-648-6,192.168.1.13,37074,192.168.1.3,648,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46062-2106-6,192.168.1.13,46062,192.168.1.3,2106,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-54424-10626-6,192.168.1.13,54424,192.168.1.3,10626,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-44678-79-6,192.168.1.13,44678,192.168.1.3,79,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-59990-5510-6,192.168.1.13,59990,192.168.1.3,5510,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-60406-49176-6,192.168.1.13,60406,192.168.1.3,49176,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-53504-1998-6,192.168.1.13,53504,192.168.1.3,1998,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-39202-18101-6,192.168.1.13,39202,192.168.1.3,18101,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-60166-2196-6,192.168.1.13,60166,192.168.1.3,2196,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-46414-8600-6,192.168.1.13,46414,192.168.1.3,8600,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-55874-20000-6,192.168.1.13,55874,192.168.1.3,20000,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-53838-5904-6,192.168.1.13,53838,192.168.1.3,5904,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-33896-3001-6,192.168.1.13,33896,192.168.1.3,3001,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-37956-2382-6,192.168.1.13,37956,192.168.1.3,2382,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-35404-5033-6,192.168.1.13,35404,192.168.1.3,5033,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-41248-13782-6,192.168.1.13,41248,192.168.1.3,13782,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-50796-55600-6,192.168.1.13,50796,192.168.1.3,55600,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-48550-222-6,192.168.1.13,48550,192.168.1.3,222,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-52456-4-6,192.168.1.13,52456,192.168.1.3,4,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-35924-1801-6,192.168.1.13,35924,192.168.1.3,1801,6,19/11/2024 11:23:54 PM
